rayon kappa_1 kappa_2 Moyenne
0.0 2.96599915808 2.96599915808 2.96599915808
0.010101010101 2.96600468486 2.96601568477 2.96601018481
0.020202020202 2.96598443859 2.96605777127 2.96602110493
0.030303030303 2.96591790805 2.9661459727 2.96603194037
0.040404040404 2.96578651911 2.96629887013 2.96604269462
0.0505050505051 2.96557278202 2.96653395619 2.96605336911
0.0606060606061 2.96525996099 2.96686796837 2.96606396468
0.0707070707071 2.96483189431 2.96731706967 2.96607448199
0.0808080808081 2.96427288115 2.96789696196 2.96608492156
0.0909090909091 2.96356760414 2.96862296358 2.96609528386
0.10101010101 2.96270107312 2.96951006559 2.96610556936
0.111111111111 2.9616585826 2.97057297433 2.96611577846
0.121212121212 2.96042567853 2.97182614465 2.96612591159
0.131313131313 2.95898813175 2.97328380652 2.96613596913
0.141414141414 2.95733191627 2.97495998672 2.9661459515
0.151515151515 2.95544319128 2.97686852684 2.96615585906
0.161616161616 2.95330828613 2.97902309833 2.96616569223
0.171717171717 2.9509136875 2.98143721525 2.96617545138
0.181818181818 2.94824602864 2.98412424518 2.96618513691
0.191919191919 2.94529208 2.98709741846 2.96619474923
0.20202020202 2.94203874138 2.99036983616 2.96620428877
0.212121212121 2.93847303514 2.99395447683 2.96621375599
0.222222222222 2.93458210045 2.9978642023 2.96622315137
0.232323232323 2.93035318858 3.00211176243 2.9662324755
0.242424242424 2.92577365892 3.00670979914 2.96624172903
0.252525252525 2.92083097589 3.01167084958 2.96625091274
0.262626262626 2.91551270666 3.0170073485 2.96626002758
0.272727272727 2.90980651952 3.02273162999 2.96626907475
0.282828282828 2.90370018309 3.02885592844 2.96627805576
0.292929292929 2.89718156626 3.03539237879 2.96628697253
0.30303030303 2.89023863887 3.04235301613 2.9662958275
0.313131313131 2.88285947316 3.04974977452 2.96630462384
0.323232323232 2.87503224603 3.05759448514 2.96631336558
0.333333333333 2.86674524216 3.06589887367 2.96632205792
0.343434343434 2.85798685793 3.07467455694 2.96633070743
0.353535353535 2.84874560626 3.08393303878 2.96633932252
0.363636363636 2.83901012244 3.0936857051 2.96634791377
0.373737373737 2.8287691709 3.10394381814 2.96635649452
0.383838383838 2.81801165302 3.11471850986 2.96636508144
0.393939393939 2.80672661607 3.12602077451 2.96637369529
0.40404040404 2.79490326324 3.13786146028 2.96638236176
0.414141414141 2.78253096496 3.15025126007 2.96639111251
0.424242424242 2.76959927135 3.16320070133 2.96639998634
0.434343434343 2.75609792612 3.17672013499 2.96640903055
0.444444444444 2.7420168817 3.19081972346 2.96641830258
0.454545454545 2.72734631591 3.20550942768 2.9664278718
0.464646464646 2.71207664999 3.22079899324 2.96643782161
0.474747474747 2.69619856818 3.23669793564 2.96644825191
0.484848484848 2.67970303887 3.25321552459 2.96645928173
0.494949494949 2.66258133727 3.27036076754 2.9664710524
0.505050505051 2.64482506967 3.2881423923 2.96648373099
0.515151515152 2.62642619935 3.30656882903 2.96649751419
0.525252525253 2.60737707403 3.32564819145 2.96651263274
0.535353535354 2.58767045488 3.34538825747 2.96652935617
0.545454545455 2.56729954713 3.36579644939 2.96654799826
0.555555555556 2.54625803211 3.38687981361 2.96656892286
0.565656565657 2.52454010067 3.40864500015 2.96659255041
0.575757575758 2.50214048794 3.43109824201 2.96661936498
0.585858585859 2.47905450925 3.45424533465 2.96664992195
0.59595959596 2.45527809701 3.47809161557 2.96668485629
0.606060606061 2.43080783854 3.50264194438 2.96672489146
0.616161616162 2.40564101437 3.52790068347 2.96677084892
0.626262626263 2.37977563704 3.55387167949 2.96682365826
0.636363636364 2.35321048997 3.5805582458 2.96688436788
0.646464646465 2.32594516604 3.60796314634 2.96695415619
0.656565656566 2.29798010576 3.63608858084 2.9670343433
0.666666666667 2.26931663443 3.66493617188 2.96712640316
0.676767676768 2.23995699809 3.69450695385 2.96723197597
0.686868686869 2.20990439764 3.72480136411 2.96735288087
0.69696969697 2.17916302094 3.75581923653 2.96749112873
0.707070707071 2.14773807225 3.78755979765 2.96764893495
0.717171717172 2.11563579865 3.82002166559 2.96782873212
0.727272727273 2.08286351293 3.85320285178 2.96803318235
0.737373737374 2.04942961256 3.88710076587 2.96826518922
0.747474747475 2.01534359431 3.92171222356 2.96852790893
0.757575757576 1.98061606397 3.95703345773 2.96882476085
0.767676767677 1.94525874105 3.9930601326 2.96915943683
0.777777777778 1.90928445783 4.02978736108 2.96953590946
0.787878787879 1.87270715275 4.06720972507 2.96995843891
0.79797979798 1.83554185769 4.10532129872 2.9704315782
0.808080808081 1.79780467909 4.14411567435 2.97096017672
0.818181818182 1.75951277289 4.18358599093 2.97154938191
0.828282828283 1.72068431306 4.22372496478 2.97220463892
0.838383838384 1.68133845404 4.26452492226 2.97293168815
0.848484848485 1.64149528706 4.30597783406 2.97373656056
0.858585858586 1.6011757907 4.34807535088 2.97462557079
0.868686868687 1.56040177593 4.39080884002 2.97560530797
0.878787878788 1.51919582605 4.43416942251 2.97668262428
0.888888888889 1.47758123206 4.47814801056 2.97786462131
0.89898989899 1.43558192386 4.52273534476 2.97915863431
0.909090909091 1.39322239801 4.56792203085 2.98057221443
0.919191919192 1.35052764256 4.61369857558 2.98211310907
0.929292929293 1.30752305976 4.66005542148 2.98378924062
0.939393939394 1.2642343872 4.70698298014 2.98560868367
0.949494949495 1.22068761811 4.75447166385 2.98757964098
0.959595959596 1.1769089216 4.80251191526 2.98971041843
0.969696969697 1.13292456338 4.85109423508 2.99200939923
0.979797979798 1.0887608278 4.90020920746 2.99448501763
0.989898989899 1.04444394157 4.9498475231 2.99714573233
